nom,peau,age,description,application,categorie,categorie_name,prix,image,lien
Age Expertise Soin de Jour 35+,sèche,30-40,Soin de Jour Hydratant Anti-Âge,Appliquez tous les jours sur le visage et le cou bien nettoyés par mouvements circulaires pour une meilleure pénétration.,3,Crème de jour,6.35,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dweb78e74c/ProductImages/OAP6483/3600523183630/3600523183630_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/age-expertise-soin-de-jour-35-/OAP6483.html#tab=conseils-d'application
Age Expertise Soin de Jour 45+,sèche,40-50,Soin de Jour Intensif Anti-âge,Appliquez tous les jours sur le visage et le cou bien nettoyés par mouvements circulaires pour une meilleure pénétration.,3,Crème de jour,6.35,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw1ba0dd09/ProductImages/OAP6482/3600523183654/3600523183654_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/age-expertise-soin-de-jour-45-/OAP6482.html#tab=conseils-d'application
Age Expertise Soin de Jour 55+,sèche,50-60,Soin de Jour Redensifiant Anti-âge,Appliquez tous les jours sur le visage et le cou bien nettoyés par mouvements circulaires pour une meilleure pénétration.,3,Crème de jour,6.36,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw1384dec0/ProductImages/OAP6481/3600523183678/3600523183678_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/age-expertise-soin-de-jour-55-/OAP6481.html#tab=conseils-d'application
Age Expertise Soin de Nuit 55+,sèche,50-60,Soin de Nuit Redensifiant Anti-âge,Appliquez tous les jours sur le visage et le cou bien nettoyés par mouvements circulaires pour une meilleure pénétration.,4,Soin de nuit,6.43,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwc2bd3398/ProductImages/OAP6652/3600523350339/3600523350339_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-de-nuit/age-expertise-soin-de-nuit-55-/OAP6652.html#tab=conseils-d'application
Age Perfect Golden Age Crème de Jour Re-Fortifiante,sèche,60+,Soin Jour Rosé pour peaux matures et ternes,Appliquez la crème par mouvements circulaires sur le visage et le cou parfaitement nettoyés.,3,Crème de jour,15.49,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwd1fb8146/ProductImages/OAP6431/3600523216383/3600523216383_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/age-perfect-golden-age-creme-de-jour-re-fortifiante/OAP6431.html#tab=conseils-d'application
Age Perfect Golden Age Crème de Jour Re-Fortifiante FPS 20,sèche,60+,Soin Jour Rosé FPS20 pour peaux matures et ternes,Appliquez la crème par mouvements circulaires sur le visage et le cou parfaitement nettoyés en évitant le contour des yeux.,3,Crème de jour,15.49,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw66d3197d/ProductImages/OAP6430/3600523216420/3600523216420_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/age-perfect-golden-age-creme-de-jour-re-fortifiante-fps-20/OAP6430.html#tab=conseils-d'application
Age Perfect Golden Age Crème de Nuit Re-Stimulante,sèche,60+,Soin Nuit Rosé pour peaux matures et ternes,Appliquez la crème par mouvements circulaires sur le visage et le cou parfaitement nettoyés.,4,Soin de nuit,15.49,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw7ba7d9f6/ProductImages/OAP6451/3600523242658/3600523242658_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-de-nuit/age-perfect-golden-age-creme-de-nuit-re-stimulante/OAP6451.html#tab=conseils-d'application
Age Perfect Golden Age Sérum-Huile Rosé,sèche,50-60,Sérum Rosé Peaux Matures,Appliquez la crème par mouvements circulaires sur le visage et le cou parfaitement nettoyés.,2,Sérum,19.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw9637dde5/ProductImages/OAP7200/3600524055868/3600524055868_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/serum-et-ampoules-visage/age-perfect-golden-age-serum-huile-rose/OAP7200.html#tab=conseils-d'application
Age Perfect Jour,sèche,50-60,Soin Jour Raffermissant pour les peaux matures,Appliquer quotidiennement le Soin Raffermissant Remaillant par mouvements circulaires sur le visage et le cou bien nettoyés.,3,Crème de jour,10.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwea54134e/ProductImages/OAP5041/3054080063858/3054080063858_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/age-perfect-jour/OAP5041.html#tab=conseils-d'application
Age Perfect Lait Démaquillant,sèche,"50-60, 60+",Lait Démaquillant Peaux Matures,Appliquer à l'aide d'un coton sur le visage avant vos soins Age Perfect.,1,"Eau micellaire, démaquillant, nettoyant, lotion",5.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw4a7f66e1/ProductImages/OAP3090/3054080074335/3054080074335_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/eau-micellaire-et-demaquillant/age-perfect-lait-demaquillant/OAP3090.html#tab=conseils-d'application
